"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","APPLYED","RECNROIGNORED","RECNROINTERFACE","RECNROPROCESS","RECORDSMODIF","IFQUEUE","URL","ISXLSX","HASHEADER","USERID","COLSTATE","COLNROSTEALTH"
1,2019-10-22 15:45:08.773,2019-10-22 15:45:28.018,22,22,1,8,9,1,,,,,,,,
61,2019-11-19 18:20:45.653,2019-11-19 18:21:44.863,161,161,1,15,16,1,1,,,,,,,
62,2019-11-19 18:23:57.048,2019-11-19 18:24:08.102,161,161,1,39,40,1,1,,,,,,,
63,2019-11-19 18:29:35.737,2019-11-19 18:29:35.737,161,161,0,15,16,1,1,,,,,,,
103,2019-11-27 13:06:03.271,2019-11-27 13:06:11.881,63,63,1,3145,3163,18,18,,,,,,,
241,2019-12-09 08:54:11.859,2019-12-09 08:54:35.515,302,302,1,10105,10110,5,7,,,,,,,
281,2019-12-10 08:36:12.617,2019-12-10 08:36:33.339,63,63,1,2321,2349,28,32,,,,,,,
282,2019-12-10 09:10:49.442,2019-12-10 09:10:55.541,302,302,1,10637,10644,7,7,,,,,,,
301,2019-12-11 08:32:31.890,2019-12-11 08:33:58.942,302,302,1,11289,11299,10,10,,,,,,,
302,2019-12-11 08:33:21.782,2019-12-11 08:33:40.100,323,323,1,7199,7216,17,25,,,,,,,
