"CITYID","COUNTRYID","POSTALCODE","PROVINCEID","BRANCHOFFICE","CHARGE","DISTMODE","FREQUENCY","FRIDAY","MONDAY","SATURDAY","SUNDAY","THURSDAY","TUESDAY","WEDNESDAY","WEEK1","WEEK2","WEEK3","WEEK4"
5837,1,"5359",12,LA RIOJA,"48 horas antes",,Una vez por semana,NO,NO,NO,NO,SI,NO,NO,,,,
5841,1,"5360",12,LA RIOJA,"24 horas antes",,Tres veces por semana,SI,SI,NO,NO,NO,NO,SI,,,,
21380,1,"5361",12,LA RIOJA,"48 horas antes",,Una vez por semana,SI,NO,NO,NO,NO,NO,NO,,,,
1290,1,"5361",12,LA RIOJA,"48 horas antes",,Una vez por semana,NO,SI,NO,NO,NO,NO,NO,,,,
17304,1,"5362",12,LA RIOJA,"48 horas antes",,Una vez por semana,SI,NO,NO,NO,NO,NO,NO,,,,
6937,1,"5363",12,LA RIOJA,"48 horas antes",,Una vez por semana,NO,NO,NO,NO,NO,SI,NO,,,,
1552,1,"5364",12,LA RIOJA,"48 horas antes",,Una vez por semana,NO,NO,NO,NO,NO,SI,NO,,,,
1213,1,"5365",12,LA RIOJA,"48 horas antes",,Una vez por semana,SI,NO,NO,NO,NO,NO,NO,,,,
12436,1,"5366",12,LA RIOJA,"48 horas antes",,Una vez por semana,SI,NO,NO,NO,NO,NO,NO,,,,
14451,1,"5367",12,LA RIOJA,"48 horas antes",,Una vez por semana,NO,NO,NO,NO,NO,SI,NO,,,,
