"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","STATE_ID"
6,2019-10-22 15:45:27.986,2019-10-22 15:45:27.986,22,22,6
103,2019-11-07 12:40:11.555,2019-11-07 12:40:11.555,64,64,1
104,2019-11-07 12:43:10.814,2019-11-07 12:43:10.814,64,64,21
105,2019-11-07 13:29:26.266,2019-11-07 13:29:26.266,62,62,1
106,2019-11-07 13:31:03.354,2019-11-07 13:31:03.354,62,62,2
107,2019-11-07 13:38:14.541,2019-11-07 13:38:14.541,66,66,5
108,2019-11-07 13:42:18.140,2019-11-07 13:42:18.140,64,64,1
109,2019-11-07 13:47:11.282,2019-11-07 13:47:11.282,64,64,2
110,2019-11-07 13:47:11.298,2019-11-07 13:47:11.298,64,64,2
111,2019-11-07 14:17:58.195,2019-11-07 14:17:58.195,66,66,5
