"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","FINALSTATE","INITIALSTATE","NAME","MODIFIABLE","LOCKABLE"
23,2020-11-05 23:00:19.000,2020-11-05 23:00:19.000,,,0,0,ASIGNADO RPA,0,0
24,2020-11-05 23:00:19.000,2020-11-05 23:00:19.000,,,0,0,REVISION MANUAL,1,1
1,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,1,INICIAL,1,1
2,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,PENDIENTE DE CARGA,1,1
3,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,NO CARGADO,1,1
4,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,REPACTAR,1,1
5,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,CREADO,0,1
6,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,EN REPARTO,0,1
7,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,RECUPERAR PIN,0,1
8,2019-10-11 14:05:21.000,2019-10-11 14:05:21.000,,,0,0,DEVUELTO,0,1
9,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,PIN ENVIADO,0,1
10,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,SOLICITUD COMPLETA,0,1
11,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,PIN VENCIDO,0,1
12,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,ENTREGADO S/DOC,0,1
13,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,PTE ENVIO CNA,0,1
14,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,CNA,0,1
15,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,RECHAZADO,0,1
16,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,REACTIVAR,0,1
17,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,0,0,ERROR DIGITALIZACION,0,1
18,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,1,0,ACTIVADO PORTADO,0,0
19,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,1,0,CANCELADO,0,0
20,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,1,0,RECHAZADO CAIDO,0,0
21,2019-10-11 14:05:22.000,2019-10-11 14:05:22.000,,,1,0,DESESTIMADO,0,0
22,2019-10-11 14:05:23.000,2019-10-11 14:05:23.000,,,0,0,NO CONTACTO,1,1
33,2023-05-05 12:29:07.000,2023-05-05 12:29:07.000,,,0,0,PREVENTA,1,1
53,2023-06-28 19:37:05.000,2023-06-28 19:37:05.000,,,0,0,PREVENTA,1,1
54,2023-06-28 19:44:29.000,2023-06-28 19:44:29.000,,,0,0,PREVENTA,1,1
55,2023-06-28 19:46:18.000,2023-06-28 19:46:18.000,,,0,0,PREVENTA,1,1
56,2023-06-28 19:59:53.000,2023-06-28 19:59:53.000,,,0,0,PREVENTA,1,1
