"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","ACTIVE","MANUAL","ORDERAUTO","RAZON","SAPSTATE","STATE_FROM","STATE_TO"
1,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,1,3
2,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,1,2
3,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,1,5
4,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,1,4
5,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,2,1
6,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,2,5
7,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,4,3
8,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,1,,,,4,5
9,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,0,1,x,c,3,7
10,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,0,2,!x,c,3,8
11,2020-06-01 21:37:11.000,2020-06-01 21:37:11.000,,,1,0,3,!null,a,3,7
